"month_start","tagname","group_name","questions","answers","total_q_a"
2019-12-01,dart,baixo_moderado,1058,1534,2592
2019-12-01,julia,baixo_moderado,110,137,247
2019-12-01,r,baixo_moderado,3737,4589,8326
2020-01-01,c#,alto_recurso,7762,9071,16833
2020-01-01,java,alto_recurso,9878,12102,21980
2020-01-01,javascript,alto_recurso,15943,21416,37359
2020-01-01,python,alto_recurso,19878,24773,44651
2020-01-01,bash,baixo_moderado,962,1327,2289
2020-01-01,dart,baixo_moderado,1183,1576,2759
2020-01-01,julia,baixo_moderado,145,184,329
2020-01-01,r,baixo_moderado,4132,5252,9384
2020-02-01,c#,alto_recurso,7680,8931,16611
2020-02-01,java,alto_recurso,9987,11953,21940
2020-02-01,javascript,alto_recurso,15673,20721,36394
2020-02-01,python,alto_recurso,19924,24375,44299
2020-02-01,bash,baixo_moderado,1040,1491,2531
2020-02-01,dart,baixo_moderado,1138,1584,2722
2020-02-01,julia,baixo_moderado,97,142,239
2020-02-01,r,baixo_moderado,4668,5743,10411
2020-03-01,c#,alto_recurso,7758,8410,16168
2020-03-01,java,alto_recurso,11012,12585,23597
2020-03-01,javascript,alto_recurso,17473,21999,39472
2020-03-01,python,alto_recurso,22551,26737,49288
2020-03-01,bash,baixo_moderado,1157,1628,2785
2020-03-01,dart,baixo_moderado,1103,1503,2606
2020-03-01,julia,baixo_moderado,113,160,273
2020-03-01,r,baixo_moderado,5111,6262,11373
2020-04-01,c#,alto_recurso,8551,9473,18024
2020-04-01,java,alto_recurso,12549,14509,27058
2020-04-01,javascript,alto_recurso,20789,25893,46682
2020-04-01,python,alto_recurso,27483,33270,60753
2020-04-01,bash,baixo_moderado,1278,1647,2925
2020-04-01,dart,baixo_moderado,1592,2156,3748
2020-04-01,julia,baixo_moderado,136,162,298
2020-04-01,r,baixo_moderado,6172,7261,13433
2020-05-01,c#,alto_recurso,8560,9593,18153
2020-05-01,java,alto_recurso,11953,13761,25714
2020-05-01,javascript,alto_recurso,21393,27592,48985
2020-05-01,python,alto_recurso,29301,36395,65696
2020-05-01,bash,baixo_moderado,1197,1527,2724
2020-05-01,dart,baixo_moderado,1856,2555,4411
2020-05-01,julia,baixo_moderado,168,195,363
2020-05-01,r,baixo_moderado,6010,7321,13331
2020-06-01,c#,alto_recurso,7869,8664,16533
2020-06-01,java,alto_recurso,10772,12467,23239
2020-06-01,javascript,alto_recurso,19700,25965,45665
2020-06-01,python,alto_recurso,27000,34710,61710
2020-06-01,bash,baixo_moderado,1109,1448,2557
2020-06-01,dart,baixo_moderado,1766,2356,4122
2020-06-01,julia,baixo_moderado,125,132,257
2020-06-01,r,baixo_moderado,5431,6729,12160
2020-07-01,c#,alto_recurso,7771,8629,16400
2020-07-01,java,alto_recurso,10399,12504,22903
2020-07-01,javascript,alto_recurso,19786,25927,45713
